"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS","DATA_DADES"
"07089","630","763","151","128","752","362","1145","62","186","04-09-2022 10:00:05"
"07090","731","757","225","136","818","309","1287","52","149","04-09-2022 10:00:05"
"07091","578","676","145","132","697","280","1010","42","202","04-09-2022 10:00:05"
"07092","684","836","178","144","848","350","1073","42","405","04-09-2022 10:00:05"
"07093","857","889","214","222","901","409","1385","43","318","04-09-2022 10:00:05"
"07094","571","697","138","97","729","304","1047","49","172","04-09-2022 10:00:05"
"07095","737","798","168","180","872","315","1264","58","213","04-09-2022 10:00:05"
"07096","668","806","157","156","860","301","1175","49","250","04-09-2022 10:00:05"
"07097","385","505","92","58","415","325","769","24","97","04-09-2022 10:00:05"
"07098","1006","1139","296","225","1130","494","1975","53","117","04-09-2022 10:00:05"
"07099","502","522","74","85","618","247","948","23","53","04-09-2022 10:00:05"
"07100","557","645","125","87","588","402","1026","40","136","04-09-2022 10:00:05"
"07101","686","821","137","118","719","533","1283","53","171","04-09-2022 10:00:05"
"07102","366","334","130","50","437","83","596","20","84","04-09-2022 10:00:05"
"07103","686","770","166","191","801","298","1164","48","244","04-09-2022 10:00:05"
"07104","757","827","208","145","845","386","1366","46","172","04-09-2022 10:00:05"
"07105","478","561","111","88","539","301","954","19","66","04-09-2022 10:00:05"
"07106","552","634","149","112","626","299","1080","9","97","04-09-2022 10:00:05"
"07107","557","625","141","108","628","305","1083","22","77","04-09-2022 10:00:05"
"07108","582","663","142","113","664","326","1114","37","94","04-09-2022 10:00:05"
"07109","800","897","208","147","918","424","1428","53","216","04-09-2022 10:00:05"
"07110","446","585","99","91","487","354","949","16","66","04-09-2022 10:00:05"
"07111","380","518","103","77","395","323","845","17","36","04-09-2022 10:00:05"
"07112","628","699","152","135","736","304","1168","42","117","04-09-2022 10:00:05"
"07113","588","639","160","144","710","213","1047","17","163","04-09-2022 10:00:05"
"07114","574","665","153","119","691","276","1114","39","86","04-09-2022 10:00:05"
"07115","489","585","130","120","555","269","1006","33","35","04-09-2022 10:00:05"
"07116","678","825","214","146","802","341","1360","32","111","04-09-2022 10:00:05"
"07117","1882","1760","470","421","2410","341","1411","99","2132","04-09-2022 10:00:05"
"07118","560","667","147","124","654","302","1062","33","132","04-09-2022 10:00:05"
"07119","607","703","168","125","749","268","1078","30","202","04-09-2022 10:00:05"
"07120","555","692","124","104","654","365","1056","19","172","04-09-2022 10:00:05"
"07121","546","652","137","95","638","328","932","23","243","04-09-2022 10:00:05"
"07122","588","717","146","107","692","360","1142","25","138","04-09-2022 10:00:05"
"07123","668","751","153","164","730","372","1265","26","128","04-09-2022 10:00:05"
"08001","585","685","134","103","663","370","1114","18","138","04-09-2022 10:00:05"
"08002","585","678","142","143","647","331","1122","32","109","04-09-2022 10:00:05"
"08003","570","648","138","110","646","324","1047","34","137","04-09-2022 10:00:05"
"08004","681","827","193","130","831","354","1174","34","300","04-09-2022 10:00:05"
"08005","541","610","112","128","590","321","997","20","134","04-09-2022 10:00:05"
"08006","770","910","194","212","899","375","1332","49","299","04-09-2022 10:00:05"
"08007","543","634","118","103","603","353","1037","34","106","04-09-2022 10:00:05"
"08008","739","856","167","154","851","423","1330","49","216","04-09-2022 10:00:05"
"08009","869","963","224","167","1102","339","1472","61","299","04-09-2022 10:00:05"
"08010","515","590","110","111","630","254","987","20","98","04-09-2022 10:00:05"
"08011","544","645","135","131","640","283","1038","34","117","04-09-2022 10:00:05"
"08012","566","695","118","125","717","301","1093","36","132","04-09-2022 10:00:05"
"08013","519","658","136","120","598","323","1008","30","139","04-09-2022 10:00:05"
"08014","592","679","140","140","746","245","1022","41","208","04-09-2022 10:00:05"
"08015","613","788","158","138","793","312","1107","39","255","04-09-2022 10:00:05"
"08016","507","643","135","94","608","313","916","32","202","04-09-2022 10:00:05"
"08017","634","704","134","96","713","395","1134","41","163","04-09-2022 10:00:05"
"08018","689","810","149","139","803","408","1258","26","215","04-09-2022 10:00:05"
"08019","868","986","217","158","1074","405","1389","56","409","04-09-2022 10:00:05"
"08020","668","724","155","122","815","300","1122","27","243","04-09-2022 10:00:05"
"08021","671","790","157","138","799","367","1215","33","213","04-09-2022 10:00:05"
"08022","565","634","121","106","644","328","1001","22","176","04-09-2022 10:00:05"
"08023","665","725","188","127","806","269","1096","33","261","04-09-2022 10:00:05"
"08024","612","752","146","128","744","346","1147","34","183","04-09-2022 10:00:05"
"08025","551","702","156","126","703","268","969","36","248","04-09-2022 10:00:05"
"08026","628","750","172","134","752","320","1142","39","197","04-09-2022 10:00:05"
"08027","710","739","197","119","767","366","1291","38","120","04-09-2022 10:00:05"
"08028","492","588","121","68","550","341","948","18","114","04-09-2022 10:00:05"
"08029","681","809","189","184","811","306","1313","29","148","04-09-2022 10:00:05"
"08030","703","765","193","144","821","310","1196","45","227","04-09-2022 10:00:05"
"08031","602","689","144","127","644","376","1107","23","161","04-09-2022 10:00:05"
"08032","597","693","136","112","683","359","1090","22","178","04-09-2022 10:00:05"
"08033","700","768","188","145","818","317","1164","33","271","04-09-2022 10:00:05"
"08034","544","701","152","111","684","298","913","18","314","04-09-2022 10:00:05"
"08035","2748","2491","587","555","3567","530","1952","118","3169","04-09-2022 10:00:05"
"08036","699","843","184","156","878","324","1153","39","350","04-09-2022 10:00:05"
"08037","706","873","186","148","855","390","1245","23","311","04-09-2022 10:00:05"
"08038","761","877","224","179","951","284","1201","20","417","04-09-2022 10:00:05"
"08039","727","814","197","144","862","338","1189","31","321","04-09-2022 10:00:05"
"08040","928","1036","306","185","1157","316","1535","34","395","04-09-2022 10:00:05"
"08041","1235","1287","430","331","1476","285","1646","45","831","04-09-2022 10:00:05"
"08042","555","693","130","104","608","406","1077","8","163","04-09-2022 10:00:05"
"08043","482","638","117","119","595","289","1010","12","98","04-09-2022 10:00:05"
"08044","627","728","193","107","810","245","1002","29","324","04-09-2022 10:00:05"
"08045","856","907","228","204","1041","290","1258","53","452","04-09-2022 10:00:05"
"08046","660","809","168","141","868","292","1135","29","305","04-09-2022 10:00:05"
"08047","754","886","244","162","955","279","1136","53","451","04-09-2022 10:00:05"
"08048","472","517","125","103","529","232","890","8","91","04-09-2022 10:00:05"
"08049","568","638","149","123","675","259","1091","14","101","04-09-2022 10:00:05"
"08050","634","727","143","90","661","467","1260","27","74","04-09-2022 10:00:05"
"08051","644","693","195","160","716","266","1236","13","88","04-09-2022 10:00:05"
"08052","397","489","104","64","469","249","797","15","74","04-09-2022 10:00:05"
